index;id;name;description;latitude;longitude;referenced_stops
73;mdb_stop_34_043747_N_118_210061_E;Soto Station;;34.043747;-118.210061;[{'stop_id': '80405', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
74;mdb_stop_34_047215_N_118_219648_E;Mariachi Plaza / Boyle Heights Station;;34.047215;-118.219648;[{'stop_id': '80406', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
75;mdb_stop_34_047634_N_118_225940_E;Pico / Aliso Station;;34.047634;-118.22594;[{'stop_id': '80407', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
76;mdb_stop_34_050100_N_118_237901_E;Little Tokyo / Arts District Station;;34.0501;-118.237901;[{'stop_id': '80408', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
77;mdb_stop_34_056061_N_118_234759_E;Union Station - Metro Gold Line;;34.056061;-118.234759;[{'stop_id': '80409', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
78;mdb_stop_34_063861_N_118_235840_E;Chinatown Station;;34.063861;-118.23584;[{'stop_id': '80410', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
79;mdb_stop_34_080949_N_118_220429_E;Lincoln Heights / Cypress Park Station;;34.080949;-118.220429;[{'stop_id': '80411', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
80;mdb_stop_34_087227_N_118_213213_E;Heritage Square / Arroyo Station;;34.087227;-118.213213;[{'stop_id': '80412', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
81;mdb_stop_34_098243_N_118_206712_E;Southwest Museum Station;;34.098243;-118.206712;[{'stop_id': '80413', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
82;mdb_stop_34_111179_N_118_192606_E;Highland Park Station;;34.111179;-118.192606;[{'stop_id': '80414', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
83;mdb_stop_34_115186_N_118_157886_E;South Pasadena Station;;34.115186;-118.157886;[{'stop_id': '80415', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
84;mdb_stop_34_133521_N_118_148126_E;Fillmore Station;;34.133521;-118.148126;[{'stop_id': '80416', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
85;mdb_stop_34_141910_N_118_148214_E;Del Mar Station;;34.14191;-118.148214;[{'stop_id': '80417', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
86;mdb_stop_34_148356_N_118_147512_E;Memorial Park Station;;34.148356;-118.147512;[{'stop_id': '80418', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
87;mdb_stop_34_151806_N_118_131390_E;Lake Station;;34.151806;-118.13139;[{'stop_id': '80419', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
88;mdb_stop_34_152417_N_118_114348_E;Allen Station;;34.152417;-118.114348;[{'stop_id': '80420', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
89;mdb_stop_34_147752_N_118_081212_E;Sierra Madre Villa Station;;34.147752;-118.081212;[{'stop_id': '80421', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
90;mdb_stop_34_142860_N_118_029199_E;Arcadia Station;;34.14286;-118.029199;[{'stop_id': '80422', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
91;mdb_stop_34_133155_N_118_003473_E;Monrovia Station;;34.133155;-118.003473;[{'stop_id': '80423', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
92;mdb_stop_34_132518_N_117_967680_E;Duarte / City of Hope Station;;34.132518;-117.96768;[{'stop_id': '80424', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
93;mdb_stop_34_129048_N_117_932506_E;Irwindale Station;;34.129048;-117.932506;[{'stop_id': '80425', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
94;mdb_stop_34_135863_N_117_906631_E;Azusa Downtown Station;;34.135863;-117.906631;[{'stop_id': '80426', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
95;mdb_stop_34_136814_N_117_891636_E;APU / Citrus College Station;;34.136814;-117.891636;[{'stop_id': '80427', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
